ID,LUCID_zip,Wpoor,Bpoor,Wwealthy,Bwealthy,city_B,city_W,poverty_city_Other,US_B,US_W,poverty_US_Other,statusBlack,statusWhite,welfsupp1,welfsupp2,welfsupp3,recip1,recip2,recip3,recip4,recip5,SuppRep1,SuppRep2,SuppRep3,Vote_Biden,Vote_Sanders,Vote_Trump,vote_final,black_contact1,black_contact2,black_contact3,black_quality1,black_quality2,black_quality3,black_quality4,white_contact1,white_contact2,white_contact3,white_quality1,white_quality2,white_quality3,white_quality4,ThermBlack,ThermWhite,ThermHisp,ThermAsian,ThermNatAm,IMS1,IMS2,IMS3,IMS4,IMS5,soc_iss,econ_iss,pol_aff,age,gender,gender_TEXT,receivewelf1,income,edu,LadderSelf,race_White,race_Black,race_NatAm,race_Asian,race_Multiracial,race_Multiracial_TEXT,race_Other,race_Other_TEXT,ethn_NotHispLat,ethn_HispLat,White_ident,Black_ident,State,zip,CALC_VAR_BELOW,WelfSupport,Democrat,PsWhite,recip1R,recip2R,recip3R,HardworkingWelf
1,06824,2,5,6,2,10.00,85.00,5.00,65.00,20.00,15.00,61.00,39.00,5,5,6,1,3,3,5,4,1,2,1,89.00,0.00,0.00,1,1,2,1,5,5,3,5,1,4,5,5,5,5,5,62.00,83.00,64.00,54.00,56.00,6,6,6,6,7,2,2,3,72,2,,0,12,2,8,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,4,#NULL!,7,06824,#NULL!,5.33,1.00,1.00,6.00,4.00,4.00,4.60
3,17345,3,4,4,3,37.50,25.00,37.50,40.00,20.00,40.00,50.00,40.00,4,4,4,6,3,3,3,3,3,3,5,50.00,50.00,50.00,1,2,1,4,3,3,3,3,4,4,4,3,3,3,3,94.00,50.00,61.00,50.00,50.00,6,4,6,4,4,4,4,3,39,1,,0,8,2,6,#NULL!,1,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,#NULL!,5,39,17345,#NULL!,4.00,1.00,0.00,1.00,4.00,4.00,3.00
4,18103,3,4,4,3,60.00,40.00,0.00,70.00,30.00,0.00,67.00,52.00,5,4,4,3,2,3,3,3,3,4,4,7.00,9.00,57.00,3,1,1,2,5,4,4,4,1,3,4,5,5,3,4,61.00,75.00,66.00,29.00,37.00,6,2,6,6,6,6,6,1,76,2,,0,14,3,6,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,4,#NULL!,39,18103,#NULL!,4.33,0.00,1.00,4.00,5.00,4.00,3.80
5,13082,2,4,5,2,40.00,40.00,20.00,60.00,30.00,10.00,80.00,80.00,4,5,5,3,4,4,4,4,2,5,4,4.00,3.00,98.00,3,1,1,1,1,5,1,5,1,2,3,1,5,1,5,84.00,84.00,85.00,81.00,82.00,7,1,7,7,7,4,5,1,63,2,,0,17,2,5,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,3,#NULL!,33,13082,#NULL!,4.67,0.00,1.00,4.00,3.00,3.00,3.60
6,45690,1,5,6,2,10.00,90.00,0.00,45.00,55.00,0.00,75.00,38.00,6,6,4,3,3,3,3,3,6,6,1,98.00,20.00,0.00,1,1,1,1,5,5,5,5,2,2,2,5,5,5,5,70.00,71.00,68.00,69.00,69.00,7,2,6,7,6,1,2,3,74,2,,0,17,5,5,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,2,#NULL!,36,45690,#NULL!,5.33,1.00,1.00,4.00,4.00,4.00,3.60
7,48603,2,2,2,2,50.00,50.00,0.00,50.00,40.00,10.00,50.00,51.00,6,3,6,4,4,3,2,3,6,6,1,71.00,61.00,0.00,1,4,2,3,5,5,3,5,4,4,4,5,5,3,5,100.00,100.00,100.00,100.00,100.00,7,1,7,7,7,5,4,2,64,2,,0,14,2,5,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,2,#NULL!,23,48603,#NULL!,5.00,0.00,1.00,3.00,3.00,4.00,3.00
8,77041,3,4,3,2,30.00,20.00,50.00,30.00,20.00,50.00,70.00,65.00,4,3,4,2,3,1,4,5,4,5,3,100.00,50.00,0.00,1,2,2,2,3,4,3,4,4,4,3,3,4,3,4,60.00,60.00,60.00,51.00,60.00,5,3,4,5,5,3,5,3,70,2,,0,9,3,7,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,3,#NULL!,45,77041,#NULL!,3.67,1.00,1.00,5.00,4.00,6.00,4.80
9,81652,3,4,4,4,0.00,65.00,35.00,30.00,50.00,20.00,52.00,50.00,6,4,4,2,2,2,4,5,2,5,2,0.00,0.00,1.00,3,1,1,1,1,3,3,3,4,5,5,1,5,2,4,100.00,100.00,100.00,100.00,100.00,7,1,7,7,7,7,7,1,69,2,,0,9,3,6,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,4,#NULL!,6,81652,#NULL!,4.67,0.00,1.00,5.00,5.00,5.00,4.80
10,11758,3,5,3,2,35.00,40.00,25.00,45.00,40.00,15.00,90.00,85.00,5,5,6,1,2,1,4,5,6,6,1,100.00,60.00,1.00,1,1,1,3,3,5,4,4,1,5,5,3,5,2,4,71.00,85.00,85.00,75.00,80.00,7,1,7,7,7,3,5,2,73,2,,0,16,5,8,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,3,#NULL!,33,11758,#NULL!,5.33,0.00,1.00,6.00,5.00,6.00,5.20
12,27520,2,4,5,3,20.00,60.00,20.00,25.00,45.00,30.00,29.00,34.00,3,4,4,3,4,4,3,4,6,6,2,17.00,3.00,63.00,3,3,1,2,4,4,3,4,4,4,3,4,4,3,3,61.00,74.00,46.00,42.00,55.00,6,2,5,5,4,7,6,1,68,2,,0,11,3,6,1,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,,1,#NULL!,2,#NULL!,34,27520,#NULL!,3.67,0.00,1.00,4.00,3.00,3.00,3.40
